Site,Blk,Gen,Y1,Y2
Env1,1,1,50.2,20.5
Env1,1,2,41.8,19.5
Env1,1,3,39.2,19
Env1,1,4,37.8,20
Env1,1,5,35.6,20
Env1,1,6,53.4,19.2
Env1,1,7,43.8,19.5
Env1,1,8,50.6,19.7
Env1,2,1,41.4,20.6
Env1,2,2,47.2,20.1
Env1,2,3,37.6,18.5
Env1,2,4,49.6,20.3
Env1,2,5,31.4,20.8
Env1,2,6,50.2,19.5
Env1,2,7,46.8,20.4
Env1,2,8,47.8,19.8
Env1,3,1,36.2,20.5
Env1,3,2,39.6,19.3
Env1,3,3,38.8,18.1
Env1,3,4,35.4,20.6
Env1,3,5,33.2,20.3
Env1,3,6,49.6,20.3
Env1,3,7,41.4,20.7
Env1,3,8,41.8,20.1
Env1,4,1,39.8,19.6
Env1,4,2,46.6,20.1
Env1,4,3,33.6,19.3
Env1,4,4,41.8,20.3
Env1,4,5,29.8,19.9
Env1,4,6,57.3,19.9
Env1,4,7,43.6,20.3
Env1,4,8,46.8,20.5
