Site,Gen,AYLD_CONT,Rep,Row,Col
Env1,IR 105469:43-6-5,1516,1,1,4
Env1,IRRI 154,4058,1,2,4
Env1,IR 105469:74-16-12,3711,1,3,4
Env1,IR 105463:53-22-24,3301,1,4,4
Env1,IR 105464:2-7-22,3634,1,5,4
Env1,IR 102885-6-25-2-13,3599,1,6,4
Env1,IR 102885-29-77-3-3-10,3367,1,7,4
Env1,SABITRI,3514,1,8,4
Env1,IR 102885-34-115-7-1-12,3431,1,9,4
Env1,IR 102885-1-75-5-1-5,3455,1,10,4
Env1,IR 105469:72-28-18,3114,1,11,4
Env1,IR 102885-29-48-5-5,3622,1,12,4
Env1,IR 102885-29-37-9-2-5,2727,1,13,4
Env1,IR 102885-34-40-1-7,3320,1,14,4
Env1,IR 105469:81-19-5,3053,1,15,4
Env1,IR 102885-1667-4-1-7,3247,1,16,4
Env1,IR 105479:82-3,3681,1,17,4
Env1,IR 105479:121-19,4068,1,18,4
Env1,IR 102885-1-87-4-13,3522,1,19,4
Env1,IR 102885-2-74-7-24,3208,1,20,4
Env1,IR 102885-2-74-2-3-1,2967,1,21,4
Env1,IR 102885-1642-7-6,1999,1,22,4
Env1,IR 105469:81-19-16,2453,1,23,4
Env1,IR 105463:24-12-3,3807,1,24,4
Env1,IR 105495:11-11,3695,1,25,4
Env1,IR 102885-34-40-5-23,2971,1,26,4
Env1,IR 102885-2-74-2-2-23,2763,1,27,4
Env1,SUPER BASMATI,1660,1,28,4
Env1,IR 105469:72-42-4,3300,1,29,4
Env1,IR 102885-34-40-8-4,2684,1,30,4
Env1,IR 102885-25-8-4-3-8,1645,1,31,4
Env1,IR 102885-2-74-3-14,2854,1,32,4
Env1,IR 105469:72-22-1,2799,1,33,4
Env1,IR 105474:46-7-5,1152,1,34,4
Env1,IR 105469:72-2-3,2947,1,35,4
Env1,IR 105463:53-28-5,3024,1,36,4
Env1,IR 6 (PAKISTAN),2663,1,37,4
Env1,IR 102885-44-6-5-3-5,3222,1,38,4
Env1,IR 105483:5-3,3326,1,39,4
Env1,IR 105479:64-16,3910,1,40,4
Env1,IR 102885-34-115-3-29,3003,1,41,4
Env1,IR 102885-29-48-4-1-3,2934,1,42,4
Env1,IR 102885-29-48-5-24,3015,1,43,4
Env1,IR 102885-1664-1-22,3757,1,44,4
Env1,IR 102885-34-115-1-9,2753,1,45,4
Env1,IR 102885-25-8-4-4,3098,1,46,4
Env1,IR 105469:81-19-8,3045,1,47,4
Env1,IR 102885-1642-5-1-8,3226,1,48,4
Env1,IR 105495:10-8,3161,1,49,4
Env1,IR 105465:4-1-12,2294,1,50,4
Env1,IR 102885-34-115-8-2-4,3022,1,51,4
Env1,IR 102885-1667-1-1-1,2684,1,52,4
Env1,IR 102884-191-1-24,4014,1,53,4
Env1,IR 102885-29-98-6-2-28,2529,1,54,4
Env1,IR 105462:4-30-7,3424,1,55,4
Env1,IR 102884-191-1-28,4060,1,56,4
Env1,IR 102885-6-25-3-10,2195,1,57,4
Env1,IR 102885-29-48-5-27,3146,1,58,4
Env1,IR 102885-2-74-19-16,2866,1,59,4
Env1,IR 105469:81-19-19,2915,1,60,4
Env1,IR 105469:81-19-11,2729,1,61,4
Env1,IR 102885-1-75-1-1-15,3821,1,62,4
Env1,IR 105463:16-24-5,3497,1,63,4
Env1,IR 105469:43-51-16,3522,1,64,4
Env1,IR 105495:1-14,2783,1,65,4
Env1,IR 102885-29-98-1-1-9,3558,1,66,4
Env1,IR 105469:50-46-17,3389,1,67,4
Env1,IR 105469:99-13-8,3132,1,68,4
Env1,IR 102884-191-1-7,4327,1,69,4
Env1,IR 105463:24-13-12,3290,1,70,4
Env1,IR 102885-1642-7-7,988,1,71,4
Env1,IR 102885-1-75-5-3-27,2922,1,72,4
Env1,IR 105479:64-19,3752,1,73,4
Env1,IRRI 149,3028,1,74,4
Env1,IR 102885-1-75-9-1-25,4152,1,1,3
Env1,IR 105469:92-11-14,2336,1,2,3
Env1,IR 105469:81-19-6,4441,1,3,3
Env1,IR 105479:121-23,4015,1,4,3
Env1,IR 105479:149-10,3866,1,5,3
Env1,IR 102885-29-37-2-1-1,3801,1,6,3
Env1,IR 105479:35-18,3924,1,7,3
Env1,IR 105469:30-17-3,3275,1,8,3
Env1,IR 105479:82-4,4274,1,9,3
Env1,IR 102885-1-87-4-23,3901,1,10,3
Env1,IR 105462:4-31-18,3221,1,11,3
Env1,IR 105462:11-9-19,4104,1,12,3
Env1,IR 105469:72-43-25,2950,1,13,3
Env1,IR 102885-2-74-6-2-13,3827,1,14,3
Env1,IR 102885-1620-1-5,4128,1,15,3
Env1,IR 102885-1-75-1-9,3571,1,16,3
Env1,IR 105474:46-9-10,362,1,17,3
Env1,IR 102885-1-75-5-1-6,3150,1,18,3
Env1,IR 102885-34-115-10-8,3733,1,19,3
Env1,IR 105479:121-9,2996,1,20,3
Env1,IR 105469:81-3-17,3776,1,21,3
Env1,IR 102885-6-25-2-26,3540,1,22,3
Env1,IR 105479:121-21,4039,1,23,3
Env1,IR 102885-1-75-4-1-8,4228,1,24,3
Env1,IR 102885-29-77-1-1-18,4030,1,25,3
Env1,IR 102885-1-6-5-16,3974,1,26,3
Env1,IR 102885-29-48-5-18,3894,1,27,3
Env1,IR 102885-34-115-11-3-11,3627,1,28,3
Env1,IR 105479:82-11,3644,1,29,3
Env1,IR 102885-29-77-6-2-2,2771,1,30,3
Env1,IR 105474:46-7-23,1477,1,31,3
Env1,IR 102885-29-77-1-1-22,3568,1,32,3
Env1,IR 105469:74-3-1,3534,1,33,3
Env1,IR 105469:72-45-2,3701,1,34,3
Env1,IR 102885-29-77-3-2-18,2108,1,35,3
Env1,IR 102885-6-25-3-16,3336,1,36,3
Env1,IR 102885-29-98-1-1-6,3257,1,37,3
Env1,IR 105479:82-17,4034,1,38,3
Env1,IR 105479:87-2,3959,1,39,3
Env1,IR 105479:149-11,3535,1,40,3
Env1,IR 102885-34-115-11-19,3660,1,41,3
Env1,IR 102885-29-98-7-2-24,3856,1,42,3
Env1,IR 102884-191-1-22,4157,1,43,3
Env1,IR 102885-1-75-9-2-25,3774,1,44,3
Env1,IR 102885-29-48-4-2-7,3460,1,45,3
Env1,IR 102885-44-6-4-1-11,3134,1,46,3
Env1,IR 105469:43-32-6,3907,1,47,3
Env1,IR 102885-1-75-4-1-25,4159,1,48,3
Env1,IR 105479:82-6,4012,1,49,3
Env1,IR 102885-29-77-2-1-7,3982,1,50,3
Env1,IR 102885-1-75-4-1-11,3512,1,51,3
Env1,IR 102885-34-115-11-2-17,3772,1,52,3
Env1,IR 105463:30-13-6,4201,1,53,3
Env1,IR 105469:72-22-3,3930,1,54,3
Env1,IR 105469:72-16-19,3487,1,55,3
Env1,IR 102885-1-6-4-3-17,3518,1,56,3
Env1,IR 105462:4-41-13,4525,1,57,3
Env1,IR 102884-191-1-21,4027,1,58,3
Env1,IR 102885-25-8-6-9,3085,1,59,3
Env1,IR 105465:25-7-8,1622,1,60,3
Env1,IR 102885-1-75-4-16,3459,1,61,3
Env1,IR 105469:72-17-21,3951,1,62,3
Env1,IR 105469:81-6-10,4074,1,63,3
Env1,IR 102885-34-115-1-23,2135,1,64,3
Env1,IR 105469:81-3-1,4053,1,65,3
Env1,IR 105479:100-3,4512,1,66,3
Env1,IR 105469:49-15-15,4125,1,67,3
Env1,IR 102885-1667-4-1-12,2885,1,68,3
Env1,IR 105469:74-33-21,4754,1,69,3
Env1,IR 105479:82-24,4610,1,70,3
Env1,IR 105469:92-12-15,4214,1,71,3
Env1,IR 102885-9-117-5-3-3,2954,1,72,3
Env1,IR 102884-191-1-25,4477,1,73,3
Env1,IRRI 123,4186,1,74,3
Env1,IR 102885-1-82-1-11,2525,1,1,2
Env1,IR 105469:81-19-9,4075,1,2,2
Env1,IR 105465:4-1-18,2350,1,3,2
Env1,IR 102885-34-115-11-3-1,2648,1,4,2
Env1,IR 105479:170-2,4734,1,5,2
Env1,IR 105469:92-9-13,4302,1,6,2
Env1,IR 105479:121-4,4001,1,7,2
Env1,IR 105469:72-17-1,4133,1,8,2
Env1,IR 105479:149-20,3263,1,9,2
Env1,IR 105462:11-9-3,3907,1,10,2
Env1,IR 102885-34-115-13-2-23,3786,1,11,2
Env1,IR 105469:81-19-13,4486,1,12,2
Env1,IR 105479:121-15,3895,1,13,2
Env1,IR 102885-25-8-4-3-4,3415,1,14,2
Env1,IR 102885-1654-1-25,2605,1,15,2
Env1,IR 102885-6-25-2-4,1856,1,16,2
Env1,IR 105465:4-1-13,1923,1,17,2
Env1,IR 105469:81-6-4,4092,1,18,2
Env1,IR 102884-191-1-12,4519,1,19,2
Env1,IR 102885-1-82-1-12,4100,1,20,2
Env1,IR 105469:81-14-24,3678,1,21,2
Env1,IR 102885-29-77-4-1-5,3033,1,22,2
Env1,IR 105465:1-19-6,3678,1,23,2
Env1,IR 102885-1-82-1-25,3681,1,24,2
Env1,IR 105479:134-1,3580,1,25,2
Env1,IR 102885-1-75-1-1-17,3257,1,26,2
Env1,IR 102885-34-115-11-3-23,3926,1,27,2
Env1,IR 105469:81-3-18,3799,1,28,2
Env1,IR 105483:18-23,3666,1,29,2
Env1,IR 102885-25-4-3-9,3164,1,30,2
Env1,IR 102885-2-74-3-15,3283,1,31,2
Env1,IR 105463:53-44-24,3217,1,32,2
Env1,IR 105469:43-23-17,4316,1,33,2
Env1,IR 102885-1-87-6-28,3813,1,34,2
Env1,IR 102885-34-115-11-3-14,3085,1,35,2
Env1,IR 105479:64-20,4381,1,36,2
Env1,IR 105469:30-17-8,3774,1,37,2
Env1,IR 102885-34-115-15-2,1680,1,38,2
Env1,IR 102885-34-115-3-24,2451,1,39,2
Env1,IR 105483:18-4,2789,1,40,2
Env1,IR 102885-9-117-2-16,18.4,1,41,2
Env1,IR 102885-31-11-4-7,4361,1,42,2
Env1,IR 102885-1667-2-1,442,1,43,2
Env1,SABITRI,2083,2,44,2
Env1,IR 102885-34-40-5-3-2,3095,1,45,2
Env1,IR 102885-34-115-9-2-24,3558,1,46,2
Env1,IR 105469:74-28-2,3944,1,47,2
Env1,IR 102885-29-98-1-1-19,3528,1,48,2
Env1,IR 105469:81-14-6,3609,1,49,2
Env1,IR 6 (PAKISTAN),4287,2,50,2
Env1,IR 102885-1662-2-14,3833,1,51,2
Env1,IR 105469:72-28-22,3388,1,52,2
Env1,IR 105463:16-14-3,3717,1,53,2
Env1,IR 105462:4-2-22,3090,1,54,2
Env1,IR 105469:81-27-3,4217,1,55,2
Env1,IR 102885-1-87-5-1-12,3825,1,56,2
Env1,IR 105495:11-2,2740,1,57,2
Env1,IR 105495:10-12,3518,1,58,2
Env1,IR 105462:11-14-6,3118,1,59,2
Env1,IRRI 154,4300,2,60,2
Env1,IR 105469:92-17-14,4022,1,61,2
Env1,IR 105464:2-3-13,3761,1,62,2
Env1,IR 105479:149-18,3556,1,63,2
Env1,IR 102885-29-77-7-1-18,4028,1,64,2
Env1,IR 105463:8-35-15,4301,1,65,2
Env1,IR 105495:10-2,3264,1,66,2
Env1,IR 105469:81-22-3,4145,1,67,2
Env1,IR 102885-34-115-10-3-5,2032,1,68,2
Env1,IR 102885-1-75-4-17,4336,1,69,2
Env1,IR 102885-34-115-11-3-17,1419,1,70,2
Env1,IR 105469:43-32-12,3882,1,71,2
Env1,IR 105479:82-16,4750,1,72,2
Env1,IR 102885-34-76-4-9,2941,1,73,2
Env1,IR 105479:8-21,5094,1,74,2
Env1,IR 102885-29-32-5-25,3470,1,1,1
Env1,IR 102885-29-77-7-12,4233,1,2,1
Env1,IR 105463:24-3-19,3035,1,3,1
Env1,IR 105495:6-11,3764,1,4,1
Env1,IR 105469:72-28-20,3924,1,5,1
Env1,IR 105469:74-3-16,4190,1,6,1
Env1,IR 105465:1-10-18,2657,1,7,1
Env1,IR 105462:4-2-11,3323,1,8,1
Env1,IR 105465:4-1-9,2356,1,9,1
Env1,IR 105469:72-18-2,5037,1,10,1
Env1,IR 102885-34-115-6-2-24,4027,1,11,1
Env1,IR 105469:81-54-7,4187,1,12,1
Env1,IR 102885-1-75-4-3-25,4015,1,13,1
Env1,IR 102885-34-115-12-19,3556,1,14,1
Env1,IR 102885-1-75-9-2-6,2617,1,15,1
Env1,IR 102885-29-37-6-3-16,2923,1,16,1
Env1,IR 105483:18-5,3833,1,17,1
Env1,IR 102885-1620-1-20,4209,1,18,1
Env1,IR 105479:85-23,3996,1,19,1
Env1,IR 102885-1-75-2-2-11,4368,1,20,1
Env1,IR 102885-29-77-5-2-10,3967,1,21,1
Env1,IR 102885-2-74-6-2-23,3787,1,22,1
Env1,IR 102885-34-40-8-20,3873,1,23,1
Env1,IR 105479:149-19,3836,1,24,1
Env1,IR 105469:81-19-15,4034,1,25,1
Env1,IR 105463:53-33-5,536,1,26,1
Env1,IR 102885-1-75-2-2-15,2930,1,27,1
Env1,IR 102885-1667-1-1-9,1065,1,28,1
Env1,IR 102885-29-77-3-2-6,3095,1,29,1
Env1,IR 105469:81-35-18,3870,1,30,1
Env1,IR 102885-29-98-6-17,3269,1,31,1
Env1,IR 105469:92-10-10,2262,1,32,1
Env1,IR 102885-1-75-2-2-9,3945,1,33,1
Env1,IR 105469:92-11-17,3781,1,34,1
Env1,IR 102885-34-115-5-3-19,3041,1,35,1
Env1,IR 102885-29-32-3-7,4034,1,36,1
Env1,IR 102885-1-75-1-1-2,4095,1,37,1
Env1,IR 105469:81-22-9,3966,1,38,1
Env1,IR 102885-1-87-5-1-9,4195,1,39,1
Env1,IR 102885-1-75-4-3-17,3867,1,40,1
Env1,IR 105463:53-49-3,3815,1,41,1
Env1,IR 105469:50-20-4,3996,1,42,1
Env1,IR 105463:53-46-4,3846,1,43,1
Env1,IR 105469:92-24-9,3910,1,44,1
Env1,IR 105463:53-28-17,4262,1,45,1
Env1,IR 105483:18-9,3236,1,46,1
Env1,IR 102885-34-115-2-1-10,3522,1,47,1
Env1,IR 102885-29-98-6-2-3,3679,1,48,1
Env1,IR 102885-1-87-5-2-15,3737,1,49,1
Env1,IR 105469:81-22-1,3616,1,50,1
Env1,IR 102884-191-1-5,4405,1,51,1
Env1,IR 102885-34-115-3-12,3597,1,52,1
Env1,IR 105466:36-6-4,4575,1,53,1
Env1,IR 102885-1-75-4-1-18,4012,1,54,1
Env1,IRRI 123,4114,2,55,1
Env1,IR 105469:81-19-18,4090,1,56,1
Env1,IR 105469:50-3-13,2211,1,57,1
Env1,IR 105466:35-18-6,3424,1,58,1
Env1,IR 105479:121-2,4326,1,59,1
Env1,IR 102885-29-98-6-2,3381,1,60,1
Env1,IR 102885-34-115-1-3-2,3068,1,61,1
Env1,IR 105463:8-34-17,4156,1,62,1
Env1,SUPER BASMATI,1925,2,63,1
Env1,IR 102885-34-115-2-1-9,3560,1,64,1
Env1,IR 102885-9-117-5-18,3430,1,65,1
Env1,IR 105483:5-4,3114,1,66,1
Env1,IR 102885-6-25-1-18,3310,1,67,1
Env1,IR 102885-1-82-1-2,4376,1,68,1
Env1,IR 105463:53-36-22,3722,1,69,1
Env1,IRRI 149,3494,2,70,1
Env1,IR 102885-29-48-1-2-19,3971,1,71,1
Env1,IR 102885-29-77-3-2-1,3374,1,72,1
Env1,IR 105469:81-54-22,3911,1,73,1
Env1,IR 105474:40-1-7,1980,1,74,1
